Column1,Price,Earnings,Column2,,,,Price,Column2
8/17/2017 00:00,4261.48,100,4200,,,8/17/2017 00:00,4261.48,4200
8/17/2017 01:00,4308.83,100,4200,,,8/17/2017 01:00,4308.83,4200
8/17/2017 02:00,4330.29,100,4200,,,8/17/2017 02:00,4330.29,4200
8/17/2017 03:00,4316.62,100,4200,,,8/17/2017 03:00,4316.62,4200
8/17/2017 04:00,4333.32,100,4200,,,8/17/2017 04:00,4333.32,4200
8/17/2017 05:00,4360,100,4200,,,8/17/2017 05:00,4360,4200
8/17/2017 06:00,4441.1,100,4200,,,8/17/2017 06:00,4441.1,4200
8/17/2017 07:00,4460,100,4200,,,8/17/2017 07:00,4460,4200
8/17/2017 08:00,4436.06,100,4200,,,8/17/2017 08:00,4436.06,4200
8/17/2017 09:00,4411,100,4200,,,8/17/2017 09:00,4411,4200
8/17/2017 10:00,4459,100,4200,,,8/17/2017 10:00,4459,4200
8/17/2017 11:00,4470.82,100,4200,,,8/17/2017 11:00,4470.82,4200
8/17/2017 12:00,4352.33,100,4200,,,8/17/2017 12:00,4352.33,4200
8/17/2017 13:00,4354.18,100,4200,,,8/17/2017 13:00,4354.18,4200
8/17/2017 14:00,4289.24,100,4200,,,8/17/2017 14:00,4289.24,4200
8/17/2017 15:00,4241.91,100,4200,,,8/17/2017 15:00,4241.91,4200
8/17/2017 16:00,4307.56,100,4200,,,8/17/2017 16:00,4307.56,4200
8/17/2017 17:00,4346.74,100,4200,,,8/17/2017 17:00,4346.74,4200
8/17/2017 18:00,4333.55,100,4200,,,8/17/2017 18:00,4333.55,4200
8/17/2017 19:00,4313.39,100,4200,,,8/17/2017 19:00,4313.39,4200
8/17/2017 20:00,4285.08,100,4200,,,8/17/2017 20:00,4285.08,4200
8/17/2017 21:00,4269.36,100,4200,,,8/17/2017 21:00,4269.36,4200
8/17/2017 22:00,4251.95,100,4200,,,8/17/2017 22:00,4251.95,4200
8/17/2017 23:00,4244.77,100,4200,,,8/17/2017 23:00,4244.77,4200
8/18/2017 00:00,4292.39,100,4200,,,8/18/2017 00:00,4292.39,4200
8/18/2017 01:00,4287.92,100,4200,,,8/18/2017 01:00,4287.92,4200
8/18/2017 02:00,4313.56,100,4200,,,8/18/2017 02:00,4313.56,4200
8/18/2017 03:00,4279.46,100,4200,,,8/18/2017 03:00,4279.46,4200
8/18/2017 04:00,4285,100,4200,,,8/18/2017 04:00,4285,4200
8/18/2017 05:00,4265.33,100,4200,,,8/18/2017 05:00,4265.33,4200
