buy/sell,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
100,351.827484,351.827484,351.827484,351.827484,351.827484,351.827484,350.2344887,349.8390298,349.8351004,349.7573102,349.3595656,349.3781449,349.1638577,349.3285967,349.0146825,349.0655463,349.0504095,348.92868,348.5366082,348.2314251,347.9924802,348.0908006,347.4698199,347.0014722,351.1478619,349.6455852,346.4780016,344.0024343,344.8988103,344.0309489,343.9098677,342.7834366,344.5222789,345.2643329,347.9966161,345.7471889,347.8377742,346.2446262,347.6361527,347.6374485,347.7797434,345.2274545,317.9378028,316.0686456,314.7444891,313.5769918,305.2588722,283.872262,260.4199978,260.6646249,265.875906,275.094686,290.9895508,297.8169648,302.6196206,291.4628447,274.3217947,267.4203014,267.230772,268.7810949,266.4416099,267.6309592,266.2400176,264.0046637,263.6608417,258.3005768,259.2798096,258.9193469,264.332744,262.874377,267.8820931,266.1906837,274.3362868,273.2900793,269.0961899,272.0098119,265.152134,262.0582455,257.1134772,252.7123901,249.79408,247.4246834,243.0036834,244.5591266,241.4422353,238.8789746,254.651673,241.2232129,225.9402629,232.7475713,234.2674668,248.2006277,253.7410897,248.8589611,246.1788653,251.11137,250.4872109,244.1067707,222.7593073,223.4918582
101,344.0096318,344.0096318,344.0096318,344.0096318,344.0096318,344.0096318,341.8511513,341.2948456,341.0308416,340.6927703,340.4419937,340.1088093,339.8657783,339.908739,339.5963155,339.2714056,339.1657381,339.1873531,338.5302634,338.1558693,337.7746363,337.5186383,336.6487821,335.5959631,342.7274164,342.3384781,333.4467111,331.7243919,330.2782836,331.6589739,335.2939985,335.9965845,334.9457326,335.5685505,337.8435711,337.7955499,336.817618,337.1819716,339.2659747,339.9396568,340.5068589,336.4830578,289.4366927,290.4112999,281.9512849,281.5922265,260.5647806,258.3388411,258.6640819,261.721939,266.554911,268.6990134,278.3530554,281.040617,272.5336731,271.3075875,270.1365458,263.0112648,264.9344128,265.6750791,266.4451774,273.552624,270.3349285,264.9920587,268.4248809,261.9196834,271.4984177,267.4156559,270.8016446,274.3052986,271.3018,269.9186017,269.6294473,271.4902593,268.5615431,272.221885,263.0238065,272.3267836,273.4915277,261.0247053,267.2154433,254.9358685,255.249635,250.4040687,244.335847,243.9519623,260.9757214,240.9769846,226.1106527,230.3632224,235.6501824,260.8740354,262.9571558,243.0078752,244.1829864,259.0834685,291.2226989,243.4818417,229.3157723,211.4094751
102,340.5988363,340.5988363,340.5988363,340.5988363,340.5988363,340.5988363,337.990324,337.5614389,336.9517754,336.1516154,336.0451289,335.1819731,334.7027306,334.7398817,334.3056107,333.9836449,333.6503035,333.5552051,333.2215943,332.4941287,331.2536939,330.7433342,329.5531738,329.2658883,340.4964344,336.7772657,326.9654776,326.6358615,327.4952171,330.1639277,332.4139748,332.7325554,332.6412097,332.8482922,335.0225129,336.7547986,335.3638998,333.938934,336.9214103,337.874827,341.155615,334.6289405,281.1858133,279.8897563,269.1323627,269.4629172,260.3184861,257.7094661,258.9060551,262.084072,263.8141576,265.8662414,284.9557589,284.1580075,280.3992662,269.6457587,271.4702085,265.5875121,267.2069132,268.8265069,275.4893198,280.0799687,285.0904281,271.9469688,283.0752748,270.0216828,281.8149945,274.1368047,284.1917167,278.1380387,280.1004618,285.3923509,279.3799325,285.209587,273.9995094,281.9857095,283.0266063,301.9070679,282.8593047,276.6336118,276.7704453,267.1345654,259.7014642,256.1206899,253.4775164,254.6355059,272.2051075,255.7233034,248.4847563,235.8007826,232.5377965,265.9125183,272.6991067,261.2387136,290.3358393,288.3719271,304.5024344,238.0102289,216.239482,177.869965
103,335.1360971,335.1360971,335.1360971,335.1360971,335.1360971,335.1360971,331.8666606,331.0846179,330.5097235,330.0924499,329.6658338,329.3108016,328.1007882,327.7842954,326.6446268,326.416209,326.020108,325.8231278,325.4404773,324.8638271,324.0028629,323.9046457,322.602157,320.8018114,340.2232558,336.4906118,318.7968979,320.4772625,322.2664974,323.1411106,324.1776633,324.8775873,325.0938045,326.2833121,331.9414976,333.7368622,334.0117746,334.0760162,336.7899742,338.1454796,338.8193804,331.6715415,268.757849,267.3922908,259.7952436,259.1025589,258.7902726,257.0826349,259.5040831,260.0930937,267.9557828,265.7472029,276.5716224,272.7865179,268.3869851,256.1774762,270.3973193,264.1093062,274.0658387,270.4070352,292.2852504,288.3443371,299.2493001,289.5577287,284.8479706,272.7459232,280.0812401,292.006538,293.0827227,279.6524998,292.530201,290.3641083,270.2661891,276.4884025,287.6335573,289.8097975,282.0810883,299.4226071,288.9597742,273.3751177,275.3871009,259.0451477,280.9233405,291.8827385,272.8400539,275.3829489,265.1028315,262.2598749,279.5674549,243.5140608,237.5387559,256.2089384,268.167795,269.508068,304.3889427,275.2939448,300.6762442,228.7172929,212.8530595,184.3654298
104,333.3936348,333.3936348,333.3936348,333.3936348,333.3936348,333.3936348,328.7401159,328.9310091,328.0210774,326.6499315,326.6692873,325.9068741,324.8741494,324.2254472,323.8628519,323.1281581,322.1567838,321.6267437,321.177373,320.4322144,319.678455,318.4772072,316.9499586,315.698099,339.0708018,333.6628766,314.7449001,317.7502269,319.3629445,320.7504679,322.7969099,323.1582903,320.8807811,322.5294485,333.5164153,328.7512159,333.3625969,330.5957398,334.5452588,332.6417036,338.5242336,328.0019334,329.3275965,328.2534669,260.4046063,263.4337529,259.8261112,261.4209495,262.0986292,272.2073332,262.8520774,271.1464963,288.0169389,272.0226994,263.9418662,260.1569352,255.5012196,269.6929636,271.1526953,279.0156345,299.4295443,302.6048606,303.1596841,312.7747574,298.9771887,300.0573475,288.5885837,282.4911131,280.4825825,285.101782,301.2677185,293.7013359,276.6412609,279.7249815,294.8702307,296.4932074,288.1709421,300.8717322,283.309364,287.2243178,305.8859288,303.658696,290.8156558,269.3374558,277.8343463,277.5771282,277.7507388,264.2346127,270.3765313,249.4581704,227.2693371,223.9896838,231.1854168,246.5053952,264.5426525,269.4680486,281.5063521,254.9380899,177.0452777,193.6290571
105,327.9953275,327.9953275,327.9953275,327.9953275,327.9953275,327.9953275,323.2169764,322.6274944,321.2976673,319.8920537,319.9020997,318.9174978,317.8509708,317.1219939,315.8522295,315.7519224,315.0522688,314.1458841,313.0998139,311.7926144,311.1924099,311.4910948,309.152881,308.0850721,335.758336,332.63349,307.707759,311.2913615,316.3781658,315.0753931,317.7171925,317.7522938,319.5768305,316.6991512,334.2038262,326.6557431,333.7185533,329.0759995,332.409642,333.6247338,336.7031555,323.052825,255.6207811,255.9154801,257.9275192,257.1957586,256.873567,257.9234423,259.2757121,259.9269076,271.3528054,263.4851083,285.4716374,274.1865473,273.7032659,259.1930613,270.1587764,266.6498591,271.9153226,280.4348923,300.6071108,310.9404075,307.5155176,311.6252868,319.0313147,292.0817404,279.1690522,279.69275,286.605315,293.4532055,299.3459713,297.0536982,274.2979089,278.7974757,304.23582,306.9393585,309.4211319,313.6529509,317.7913633,306.360346,287.6770993,288.1625576,323.15349,274.5795061,287.0131566,274.0101031,303.4988402,282.6136107,313.2550546,270.0899484,237.1471625,246.3150929,262.0286341,310.3688715,296.8201219,236.8331377,226.4401195,247.8432909,189.0755787,187.1299119
106,327.5104836,327.5104836,327.5104836,327.5104836,327.5104836,327.5104836,322.5577256,321.3350363,320.6521771,319.1287541,318.5709758,317.9102546,316.7292272,316.5351704,314.8842727,314.0556116,314.3034051,313.3105372,311.5113065,310.3473086,309.2076431,309.9105241,307.2393947,305.8623998,334.8891046,332.1828307,305.5695528,311.5612219,315.0083024,314.0925464,315.5260561,318.983929,320.0338399,317.4496176,335.1237256,325.0377428,329.385413,325.1575576,328.2291082,335.2473841,335.6849812,322.7723885,255.4251177,255.99138,256.7740492,258.2897808,256.5607447,260.1048106,256.9614178,267.2030967,261.2342989,264.3872393,301.5590938,285.5146011,276.2488105,276.077051,261.996928,267.2688561,271.6389453,278.3941372,299.6770141,316.149055,311.4649183,319.1821812,328.5488533,314.8323002,288.235164,289.8320147,292.9758785,318.1153921,295.5878643,295.7408773,273.0235372,267.8330667,287.0599343,292.2378293,293.252695,312.4494386,339.8776094,307.7072849,288.6828952,283.607404,344.4565352,274.7900702,296.9945726,287.4192351,276.5325214,270.3187022,268.7586422,241.4080905,254.1960369,277.7576527,249.9301567,302.3883008,271.094201,223.6857088,236.0666881,206.3923588,203.7195444,173.5790094
107,322.0396187,322.0396187,322.0396187,322.0396187,322.0396187,322.0396187,316.1030357,315.3938313,313.7719656,312.6033811,312.172966,311.4397408,309.9689459,308.9108438,307.3137532,306.8821877,306.9672915,305.8809807,304.2594389,302.0122907,300.6029428,301.2569983,298.5834584,298.9918734,330.6347029,327.5934054,298.4811859,303.8312304,306.2186271,306.4649127,307.6222562,308.8812922,309.3622504,312.5640157,323.5952944,318.2725882,324.1591923,324.3826722,324.484529,328.2064016,330.1689791,317.9356777,313.5150785,318.8800021,259.4984755,259.4549314,262.9318826,255.7941734,260.4382844,261.0279685,257.9642801,267.9246085,287.9381381,272.7493015,277.5212883,260.7647363,254.5902923,274.7495803,252.1413286,305.4378815,301.6382426,305.3343365,334.4793839,335.2694373,329.8501019,317.5423036,285.9451166,291.0064744,307.9756909,305.6391076,288.0414878,268.4457955,271.1150194,290.5238105,311.0365448,325.2865822,313.7521423,349.2582824,342.923087,315.3470881,290.0817506,277.7823338,305.9136423,333.3464429,310.1572502,332.5186855,320.620785,346.2363792,288.455855,250.8342696,270.4616632,253.1655137,239.8247863,231.4439422,272.4874195,227.9155674,235.9765932,250.5938402,267.8433935,197.638696
108,319.6550626,319.6550626,319.6550626,319.6550626,319.6550626,319.6550626,313.5484936,311.0543278,310.2079439,308.4316971,308.8567423,307.0981331,305.591173,305.5675892,303.9833747,303.1803366,303.4843377,301.32957,299.3251862,300.3050179,297.5542177,296.6473224,295.9854398,294.6245383,331.4297928,331.0516515,294.9450961,302.3019982,310.7802461,308.0711559,313.0604656,311.1980841,310.2565195,311.6524523,319.5252228,321.6837467,321.7690231,318.3595961,323.7006541,322.2409489,327.128273,316.7741038,311.6998313,316.3598031,259.0412953,260.1163617,258.8309974,254.7187338,259.6910444,260.2723375,275.4197027,255.7920922,298.2160603,296.9376371,284.6061207,261.2932496,252.1862909,245.2758963,251.6106112,299.6497086,301.3706872,329.4225034,328.5500178,343.758189,341.2727543,312.2817662,301.5891084,307.5896007,309.1763191,292.3397361,285.3232567,329.9498347,319.7397536,310.8799171,326.6442076,321.9252015,317.1421135,370.5227781,374.0609225,334.743395,283.0694163,259.8468684,292.7315831,325.2265593,293.0487966,268.9433219,319.4224937,301.4015974,287.622923,248.6114463,258.6855886,262.9732653,239.2506683,250.9010148,230.133946,251.4301795,267.0656409,273.6838735,226.8527056,193.8513631
109,318.8854416,318.8854416,318.8854416,318.8854416,318.8854416,318.8854416,312.8849227,309.9876126,309.0752789,307.8484227,307.2314367,305.244706,304.3067612,302.5612554,301.4580475,301.6409986,299.0899096,298.3745763,298.1508505,294.7441528,296.3547777,293.6678194,294.0840189,292.0245179,331.9344393,332.2925995,294.0907417,301.5562879,295.6610445,307.737143,311.2741498,304.0566447,309.265821,308.990255,319.6655737,320.506198,322.0211018,326.2422849,327.9830244,333.7849749,332.4904069,320.9532184,317.9810408,324.435141,255.1159962,255.5086335,255.2928644,260.5203261,257.5990328,277.6464756,267.3537193,251.7918321,297.2607286,273.8456096,267.9589681,245.2832705,262.6677924,248.6595076,276.6890598,298.9113705,316.3207616,318.1918753,345.1619575,347.0495165,320.5204923,317.6590194,327.2906724,310.8787833,308.2298021,333.4312073,314.4689891,318.5715193,326.3131958,364.3903871,374.4033329,331.4176339,360.2987168,391.8820725,367.1047878,349.4608508,307.5562658,326.4084129,317.8933713,356.9782854,313.0997834,314.8651422,315.2269179,339.997403,327.3855828,278.3726231,275.8700364,291.5752803,239.2847073,249.4786365,235.0159722,249.0539589,281.3212528,246.6741159,190.6723823,200.174681
